on x=-44..5,y=-19..31,z=-15..33
on x=-39..11,y=-17..30,z=-15..30
on x=-42..10,y=-43..7,z=-4..40
on x=-4..47,y=-8..45,z=-8..43
on x=-18..28,y=-15..30,z=-36..12
on x=-24..24,y=-33..14,z=-49..1
on x=-14..30,y=-34..14,z=-27..24
on x=-45..7,y=-6..43,z=-9..41
on x=-16..37,y=-49..-5,z=-30..21
on x=-10..42,y=-35..10,z=-43..11
off x=7..17,y=-8..5,z=-30..-18
on x=-49..3,y=-27..23,z=-44..1
off x=10..23,y=-21..-10,z=-37..-19
on x=-41..4,y=-11..41,z=-36..16
off x=-6..4,y=40..49,z=12..30
on x=-2..49,y=-43..3,z=-32..13
off x=-44..-29,y=-8..6,z=1..17
on x=-9..36,y=-7..43,z=-37..14
off x=-1..12,y=-36..-23,z=28..47
on x=-26..27,y=-45..3,z=-20..24
on x=-87853..-63955,y=-14079..10797,z=16618..34667
on x=-22600..-10441,y=-47268..-24491,z=-72641..-62383
on x=-7793..18488,y=71672..78114,z=-44666..-18458
on x=73..5701,y=-2494..28421,z=-89152..-65315
on x=-37051..-30202,y=15342..24015,z=-77231..-62996
on x=53246..70778,y=-62293..-47740,z=20277..41217
on x=-14142..12389,y=62146..65958,z=-55683..-41913
on x=-48728..-18398,y=8282..34289,z=-81114..-48336
on x=-59177..-22673,y=-49858..-29386,z=-59127..-47368
on x=-85434..-72245,y=13867..31427,z=-21594..-2631
on x=-35402..-12325,y=-37452..-19185,z=-81697..-63051
on x=61174..80227,y=-866..32461,z=-20053..-10077
on x=-32647..-1711,y=-35706..-20854,z=-72604..-60376
on x=59957..82200,y=-30164..2313,z=-30464..-19345
on x=6801..22281,y=24570..51370,z=-81154..-67264
on x=20369..39838,y=73729..88454,z=577..19763
on x=29800..52019,y=29499..61971,z=48435..55070
on x=28801..40411,y=-84420..-69983,z=-13267..2211
on x=13549..40576,y=-47493..-31658,z=-71685..-40487
on x=13137..24167,y=-66931..-49605,z=26517..54208
on x=33284..48135,y=46431..67202,z=48616..59067
on x=-56715..-26618,y=56864..79700,z=-25450..-654
on x=-54074..-25399,y=-52684..-36578,z=35631..52148
on x=37464..54023,y=-34067..-6521,z=-70559..-54490
on x=-41089..-11111,y=-47478..-29133,z=60940..74315
on x=-82774..-52991,y=-54204..-20897,z=23960..42825
on x=30749..49712,y=35786..69307,z=37491..45758
on x=-11491..14973,y=-93031..-58484,z=17353..44836
on x=-57064..-20188,y=-63440..-37103,z=47342..70176
on x=-27801..-375,y=30934..59690,z=45378..71236
on x=61123..82155,y=-15850..-525,z=-53874..-32638
on x=-16993..-2751,y=40182..64669,z=-62209..-45026
on x=-82058..-51602,y=6298..30885,z=-39693..-17573
on x=49260..58127,y=-59897..-48624,z=-30308..-16577
on x=-56788..-40095,y=-25293..-14542,z=-68269..-53982
on x=2505..5932,y=-47595..-22583,z=64838..84486
on x=-53828..-37906,y=-72105..-58994,z=-4913..17377
on x=5051..19306,y=77062..91570,z=-31347..-1735
on x=-16847..-320,y=-93124..-64459,z=12444..33910
on x=-45648..-18838,y=34175..55012,z=39079..55510
on x=63218..83253,y=-23970..-4735,z=2800..11596
on x=50244..76221,y=-50393..-33391,z=-17785..-7738
on x=35816..43139,y=-73177..-43183,z=-41697..-13098
on x=-66225..-48531,y=-36053..-16991,z=-48638..-26491
on x=-20786..8663,y=28061..38714,z=-84899..-63223
on x=59014..76501,y=10125..25324,z=-54183..-35850
on x=-24243..-8597,y=-47135..-12076,z=62724..76012
