Button A: X+55, Y+84
Button B: X+64, Y+29
Prize: X=6049, Y=5045

Button A: X+52, Y+11
Button B: X+67, Y+67
Prize: X=2826, Y=1760

Button A: X+78, Y+56
Button B: X+22, Y+50
Prize: X=1222, Y=1322

Button A: X+13, Y+49
Button B: X+55, Y+12
Prize: X=7975, Y=7671

Button A: X+26, Y+34
Button B: X+47, Y+13
Prize: X=4326, Y=1974

Button A: X+13, Y+55
Button B: X+83, Y+70
Prize: X=3982, Y=4195

Button A: X+81, Y+75
Button B: X+13, Y+45
Prize: X=7639, Y=8985

Button A: X+78, Y+27
Button B: X+57, Y+81
Prize: X=5625, Y=2376

Button A: X+24, Y+73
Button B: X+71, Y+24
Prize: X=18732, Y=979

Button A: X+45, Y+22
Button B: X+20, Y+45
Prize: X=14935, Y=4567

Button A: X+94, Y+28
Button B: X+32, Y+61
Prize: X=8878, Y=3468

Button A: X+43, Y+21
Button B: X+32, Y+60
Prize: X=9015, Y=9749

Button A: X+21, Y+80
Button B: X+81, Y+66
Prize: X=4188, Y=6494

Button A: X+29, Y+95
Button B: X+88, Y+33
Prize: X=7523, Y=6775

Button A: X+24, Y+54
Button B: X+67, Y+42
Prize: X=4164, Y=2844

Button A: X+58, Y+20
Button B: X+11, Y+46
Prize: X=5388, Y=2536

Button A: X+28, Y+95
Button B: X+26, Y+13
Prize: X=1888, Y=3698

Button A: X+30, Y+62
Button B: X+63, Y+18
Prize: X=4893, Y=5512

Button A: X+93, Y+28
Button B: X+26, Y+61
Prize: X=1290, Y=1505

Button A: X+24, Y+35
Button B: X+73, Y+30
Prize: X=2938, Y=1685

Button A: X+48, Y+11
Button B: X+22, Y+46
Prize: X=10294, Y=15523

Button A: X+11, Y+29
Button B: X+54, Y+20
Prize: X=734, Y=9474

Button A: X+39, Y+14
Button B: X+31, Y+67
Prize: X=5132, Y=10002

Button A: X+14, Y+79
Button B: X+56, Y+13
Prize: X=17476, Y=2004

Button A: X+30, Y+65
Button B: X+41, Y+16
Prize: X=18817, Y=1772

Button A: X+34, Y+36
Button B: X+73, Y+14
Prize: X=6739, Y=1882

Button A: X+39, Y+15
Button B: X+12, Y+37
Prize: X=6539, Y=568

Button A: X+41, Y+18
Button B: X+36, Y+63
Prize: X=4150, Y=16235

Button A: X+15, Y+62
Button B: X+77, Y+27
Prize: X=6398, Y=7804

Button A: X+61, Y+23
Button B: X+16, Y+29
Prize: X=3576, Y=2979

Button A: X+13, Y+47
Button B: X+56, Y+22
Prize: X=6005, Y=4747

Button A: X+26, Y+68
Button B: X+45, Y+12
Prize: X=2605, Y=8356

Button A: X+46, Y+14
Button B: X+40, Y+72
Prize: X=11684, Y=16452

Button A: X+52, Y+25
Button B: X+12, Y+51
Prize: X=8884, Y=8281

Button A: X+11, Y+87
Button B: X+95, Y+86
Prize: X=8416, Y=10007

Button A: X+40, Y+58
Button B: X+32, Y+15
Prize: X=5056, Y=4725

Button A: X+19, Y+48
Button B: X+38, Y+22
Prize: X=215, Y=5088

Button A: X+63, Y+33
Button B: X+11, Y+36
Prize: X=1876, Y=2676

Button A: X+38, Y+70
Button B: X+42, Y+16
Prize: X=5236, Y=3938

Button A: X+32, Y+53
Button B: X+41, Y+14
Prize: X=11873, Y=15017

Button A: X+13, Y+48
Button B: X+62, Y+26
Prize: X=14966, Y=1168

Button A: X+72, Y+22
Button B: X+28, Y+58
Prize: X=6392, Y=5612

Button A: X+36, Y+11
Button B: X+20, Y+56
Prize: X=3636, Y=2907

Button A: X+14, Y+22
Button B: X+93, Y+18
Prize: X=2426, Y=1762

Button A: X+71, Y+35
Button B: X+20, Y+50
Prize: X=15672, Y=13920

Button A: X+98, Y+57
Button B: X+37, Y+75
Prize: X=10343, Y=9492

Button A: X+19, Y+65
Button B: X+39, Y+16
Prize: X=2511, Y=10975

Button A: X+28, Y+97
Button B: X+56, Y+20
Prize: X=1988, Y=1493

Button A: X+26, Y+72
Button B: X+56, Y+18
Prize: X=5576, Y=15002

Button A: X+79, Y+14
Button B: X+15, Y+74
Prize: X=12551, Y=14374

Button A: X+38, Y+82
Button B: X+60, Y+33
Prize: X=6786, Y=9048

Button A: X+19, Y+47
Button B: X+23, Y+11
Prize: X=14723, Y=11967

Button A: X+50, Y+14
Button B: X+13, Y+67
Prize: X=3747, Y=5421

Button A: X+65, Y+12
Button B: X+49, Y+64
Prize: X=6626, Y=3916

Button A: X+28, Y+21
Button B: X+11, Y+26
Prize: X=7752, Y=18194

Button A: X+14, Y+58
Button B: X+87, Y+19
Prize: X=6365, Y=6225

Button A: X+28, Y+79
Button B: X+74, Y+40
Prize: X=4510, Y=3779

Button A: X+12, Y+54
Button B: X+52, Y+52
Prize: X=2700, Y=4506

Button A: X+24, Y+91
Button B: X+72, Y+35
Prize: X=3048, Y=5845

Button A: X+15, Y+53
Button B: X+67, Y+28
Prize: X=4757, Y=5119

Button A: X+52, Y+17
Button B: X+22, Y+57
Prize: X=4530, Y=3025

Button A: X+68, Y+12
Button B: X+34, Y+51
Prize: X=8772, Y=4878

Button A: X+59, Y+58
Button B: X+19, Y+77
Prize: X=4357, Y=6791

Button A: X+15, Y+63
Button B: X+70, Y+26
Prize: X=7705, Y=6801

Button A: X+29, Y+18
Button B: X+16, Y+43
Prize: X=15447, Y=6091

Button A: X+20, Y+43
Button B: X+38, Y+21
Prize: X=4280, Y=9740

Button A: X+82, Y+21
Button B: X+34, Y+50
Prize: X=7068, Y=2925

Button A: X+21, Y+52
Button B: X+84, Y+43
Prize: X=9429, Y=8333

Button A: X+29, Y+36
Button B: X+92, Y+16
Prize: X=7941, Y=4260

Button A: X+22, Y+32
Button B: X+65, Y+11
Prize: X=413, Y=183

Button A: X+41, Y+97
Button B: X+97, Y+60
Prize: X=3717, Y=7099

Button A: X+60, Y+15
Button B: X+37, Y+82
Prize: X=5374, Y=8389

Button A: X+79, Y+18
Button B: X+11, Y+53
Prize: X=4202, Y=14514

Button A: X+26, Y+51
Button B: X+22, Y+11
Prize: X=2886, Y=11383

Button A: X+67, Y+22
Button B: X+13, Y+43
Prize: X=14616, Y=10056

Button A: X+29, Y+67
Button B: X+36, Y+11
Prize: X=15745, Y=7213

Button A: X+11, Y+24
Button B: X+39, Y+25
Prize: X=12543, Y=5975

Button A: X+44, Y+39
Button B: X+17, Y+85
Prize: X=4666, Y=9031

Button A: X+31, Y+73
Button B: X+22, Y+16
Prize: X=3767, Y=6221

Button A: X+75, Y+14
Button B: X+18, Y+79
Prize: X=16421, Y=6966

Button A: X+76, Y+59
Button B: X+18, Y+94
Prize: X=2568, Y=9356

Button A: X+27, Y+40
Button B: X+69, Y+27
Prize: X=5310, Y=4933

Button A: X+20, Y+12
Button B: X+14, Y+44
Prize: X=2006, Y=3596

Button A: X+12, Y+86
Button B: X+99, Y+48
Prize: X=960, Y=4234

Button A: X+97, Y+16
Button B: X+17, Y+14
Prize: X=9963, Y=2136

Button A: X+41, Y+24
Button B: X+31, Y+84
Prize: X=3471, Y=3744

Button A: X+76, Y+49
Button B: X+14, Y+68
Prize: X=6062, Y=7034

Button A: X+57, Y+12
Button B: X+32, Y+79
Prize: X=8324, Y=8186

Button A: X+79, Y+81
Button B: X+14, Y+92
Prize: X=4066, Y=10070

Button A: X+38, Y+24
Button B: X+12, Y+93
Prize: X=2998, Y=4029

Button A: X+11, Y+90
Button B: X+52, Y+17
Prize: X=2971, Y=7970

Button A: X+41, Y+87
Button B: X+74, Y+13
Prize: X=3361, Y=1947

Button A: X+92, Y+15
Button B: X+94, Y+99
Prize: X=9090, Y=8427

Button A: X+40, Y+15
Button B: X+24, Y+40
Prize: X=10928, Y=18240

Button A: X+19, Y+57
Button B: X+44, Y+23
Prize: X=3197, Y=2942

Button A: X+13, Y+64
Button B: X+84, Y+32
Prize: X=5962, Y=416

Button A: X+28, Y+92
Button B: X+95, Y+29
Prize: X=1701, Y=3607

Button A: X+39, Y+14
Button B: X+18, Y+46
Prize: X=16355, Y=11272

Button A: X+27, Y+88
Button B: X+94, Y+21
Prize: X=9678, Y=7572

Button A: X+89, Y+15
Button B: X+55, Y+88
Prize: X=9706, Y=8013

Button A: X+16, Y+65
Button B: X+82, Y+67
Prize: X=8348, Y=8898

Button A: X+48, Y+75
Button B: X+95, Y+29
Prize: X=6486, Y=5118

Button A: X+93, Y+16
Button B: X+26, Y+60
Prize: X=5960, Y=5412

Button A: X+20, Y+67
Button B: X+89, Y+23
Prize: X=5438, Y=6661

Button A: X+95, Y+72
Button B: X+23, Y+67
Prize: X=2807, Y=6539

Button A: X+84, Y+53
Button B: X+24, Y+66
Prize: X=4392, Y=5314

Button A: X+35, Y+79
Button B: X+50, Y+14
Prize: X=15635, Y=17971

Button A: X+37, Y+22
Button B: X+11, Y+82
Prize: X=2367, Y=4954

Button A: X+17, Y+25
Button B: X+84, Y+29
Prize: X=8039, Y=3598

Button A: X+29, Y+32
Button B: X+74, Y+19
Prize: X=1622, Y=662

Button A: X+84, Y+52
Button B: X+22, Y+80
Prize: X=7282, Y=6964

Button A: X+37, Y+13
Button B: X+40, Y+74
Prize: X=12931, Y=8309

Button A: X+73, Y+25
Button B: X+19, Y+66
Prize: X=6840, Y=5020

Button A: X+65, Y+44
Button B: X+11, Y+31
Prize: X=11920, Y=19148

Button A: X+69, Y+20
Button B: X+15, Y+32
Prize: X=4662, Y=3840

Button A: X+87, Y+92
Button B: X+17, Y+79
Prize: X=8004, Y=13773

Button A: X+15, Y+49
Button B: X+59, Y+26
Prize: X=5897, Y=1473

Button A: X+11, Y+31
Button B: X+65, Y+33
Prize: X=501, Y=6017

Button A: X+12, Y+57
Button B: X+60, Y+21
Prize: X=11864, Y=11330

Button A: X+53, Y+69
Button B: X+99, Y+30
Prize: X=2202, Y=1779

Button A: X+51, Y+22
Button B: X+19, Y+47
Prize: X=758, Y=17214

Button A: X+24, Y+11
Button B: X+20, Y+63
Prize: X=12228, Y=1005

Button A: X+19, Y+67
Button B: X+73, Y+25
Prize: X=18401, Y=6065

Button A: X+94, Y+69
Button B: X+24, Y+82
Prize: X=4560, Y=6502

Button A: X+97, Y+60
Button B: X+15, Y+85
Prize: X=6119, Y=4315

Button A: X+85, Y+52
Button B: X+12, Y+73
Prize: X=4054, Y=3268

Button A: X+17, Y+86
Button B: X+59, Y+19
Prize: X=5843, Y=3009

Button A: X+57, Y+12
Button B: X+26, Y+59
Prize: X=17154, Y=10263

Button A: X+46, Y+12
Button B: X+23, Y+31
Prize: X=4301, Y=2797

Button A: X+65, Y+72
Button B: X+59, Y+17
Prize: X=4460, Y=4215

Button A: X+15, Y+37
Button B: X+65, Y+23
Prize: X=19045, Y=8367

Button A: X+75, Y+12
Button B: X+29, Y+38
Prize: X=5675, Y=1742

Button A: X+23, Y+86
Button B: X+70, Y+25
Prize: X=4312, Y=8074

Button A: X+14, Y+81
Button B: X+89, Y+21
Prize: X=6426, Y=2604

Button A: X+44, Y+14
Button B: X+19, Y+63
Prize: X=524, Y=5800

Button A: X+15, Y+42
Button B: X+27, Y+12
Prize: X=3140, Y=12260

Button A: X+15, Y+60
Button B: X+72, Y+23
Prize: X=16886, Y=5749

Button A: X+12, Y+43
Button B: X+51, Y+21
Prize: X=7208, Y=16647

Button A: X+75, Y+17
Button B: X+19, Y+39
Prize: X=6943, Y=2337

Button A: X+50, Y+82
Button B: X+47, Y+14
Prize: X=9258, Y=4252

Button A: X+93, Y+91
Button B: X+17, Y+99
Prize: X=780, Y=2740

Button A: X+52, Y+62
Button B: X+68, Y+19
Prize: X=7932, Y=5919

Button A: X+61, Y+12
Button B: X+56, Y+96
Prize: X=3494, Y=2472

Button A: X+11, Y+64
Button B: X+64, Y+38
Prize: X=2487, Y=5442

Button A: X+11, Y+32
Button B: X+35, Y+17
Prize: X=6381, Y=6696

Button A: X+21, Y+35
Button B: X+41, Y+12
Prize: X=7120, Y=13403

Button A: X+81, Y+24
Button B: X+47, Y+78
Prize: X=3923, Y=4302

Button A: X+80, Y+13
Button B: X+11, Y+57
Prize: X=6737, Y=4794

Button A: X+70, Y+25
Button B: X+22, Y+63
Prize: X=14728, Y=2402

Button A: X+42, Y+19
Button B: X+11, Y+16
Prize: X=5090, Y=16796

Button A: X+31, Y+99
Button B: X+89, Y+33
Prize: X=2416, Y=3696

Button A: X+44, Y+76
Button B: X+97, Y+51
Prize: X=10786, Y=10006

Button A: X+25, Y+79
Button B: X+87, Y+63
Prize: X=9493, Y=11137

Button A: X+42, Y+98
Button B: X+17, Y+12
Prize: X=320, Y=636

Button A: X+36, Y+59
Button B: X+89, Y+14
Prize: X=4822, Y=2892

Button A: X+14, Y+48
Button B: X+23, Y+22
Prize: X=1570, Y=4928

Button A: X+24, Y+42
Button B: X+85, Y+28
Prize: X=8621, Y=4340

Button A: X+74, Y+22
Button B: X+14, Y+72
Prize: X=3208, Y=19574

Button A: X+84, Y+43
Button B: X+12, Y+51
Prize: X=12068, Y=11215

Button A: X+61, Y+24
Button B: X+22, Y+61
Prize: X=2628, Y=4384

Button A: X+23, Y+62
Button B: X+43, Y+12
Prize: X=4204, Y=18086

Button A: X+13, Y+22
Button B: X+69, Y+18
Prize: X=3627, Y=2286

Button A: X+44, Y+15
Button B: X+30, Y+68
Prize: X=16210, Y=12603

Button A: X+35, Y+70
Button B: X+47, Y+28
Prize: X=3789, Y=5796

Button A: X+20, Y+81
Button B: X+96, Y+91
Prize: X=8716, Y=9689

Button A: X+67, Y+13
Button B: X+17, Y+66
Prize: X=13352, Y=10339

Button A: X+45, Y+51
Button B: X+99, Y+27
Prize: X=2880, Y=2838

Button A: X+68, Y+62
Button B: X+73, Y+11
Prize: X=6236, Y=2130

Button A: X+27, Y+51
Button B: X+91, Y+12
Prize: X=2656, Y=540

Button A: X+50, Y+35
Button B: X+26, Y+83
Prize: X=2110, Y=5365

Button A: X+20, Y+61
Button B: X+55, Y+26
Prize: X=795, Y=5611

Button A: X+23, Y+74
Button B: X+69, Y+36
Prize: X=4600, Y=8290

Button A: X+28, Y+59
Button B: X+48, Y+18
Prize: X=14328, Y=18592

Button A: X+22, Y+83
Button B: X+92, Y+65
Prize: X=5438, Y=7822

Button A: X+66, Y+21
Button B: X+36, Y+41
Prize: X=3276, Y=1131

Button A: X+73, Y+31
Button B: X+13, Y+24
Prize: X=7263, Y=4692

Button A: X+61, Y+83
Button B: X+70, Y+18
Prize: X=9753, Y=8095

Button A: X+47, Y+21
Button B: X+49, Y+76
Prize: X=6735, Y=5676

Button A: X+60, Y+28
Button B: X+11, Y+45
Prize: X=12663, Y=18625

Button A: X+65, Y+16
Button B: X+19, Y+73
Prize: X=3354, Y=1559

Button A: X+44, Y+11
Button B: X+12, Y+76
Prize: X=14508, Y=3963

Button A: X+55, Y+23
Button B: X+28, Y+51
Prize: X=12467, Y=16721

Button A: X+16, Y+60
Button B: X+72, Y+13
Prize: X=18240, Y=9440

Button A: X+32, Y+84
Button B: X+80, Y+44
Prize: X=7056, Y=8728

Button A: X+13, Y+36
Button B: X+58, Y+18
Prize: X=816, Y=1404

Button A: X+94, Y+92
Button B: X+12, Y+87
Prize: X=8226, Y=8352

Button A: X+16, Y+66
Button B: X+55, Y+20
Prize: X=1467, Y=4332

Button A: X+36, Y+80
Button B: X+66, Y+24
Prize: X=7668, Y=8944

Button A: X+15, Y+89
Button B: X+54, Y+41
Prize: X=2232, Y=6817

Button A: X+11, Y+48
Button B: X+29, Y+16
Prize: X=17250, Y=5792

Button A: X+57, Y+25
Button B: X+11, Y+36
Prize: X=1912, Y=7192

Button A: X+18, Y+68
Button B: X+63, Y+22
Prize: X=2151, Y=5318

Button A: X+29, Y+23
Button B: X+21, Y+99
Prize: X=3461, Y=10403

Button A: X+68, Y+53
Button B: X+20, Y+70
Prize: X=7468, Y=10228

Button A: X+39, Y+40
Button B: X+50, Y+14
Prize: X=4830, Y=3388

Button A: X+30, Y+63
Button B: X+73, Y+40
Prize: X=4210, Y=4309

Button A: X+34, Y+26
Button B: X+11, Y+29
Prize: X=12871, Y=16869

Button A: X+97, Y+52
Button B: X+26, Y+43
Prize: X=8503, Y=7232

Button A: X+89, Y+65
Button B: X+18, Y+72
